Constellation,NumSatellites,NumPlanes,AvgAltitude_km,PhasingDV_ms,PlaneChangeDV_ms,TotalDV_ms,TotalDV_kms
poesItos,21,10,1008.90843588833,12538.0151101199,29595.3133835253,42133.3284936451,42.1333284936451
poesItosNarrow,4,3,822.135755224627,1416.39106253643,13674.1023658566,15090.4934283931,15.0904934283931
poesItosLandsat,6,3,782.259194611053,1700.67576491572,13674.1023658566,15374.7781307724,15.3747781307724
poesItosLandsatJPSS,8,3,793.423689804481,3738.80605492229,13674.1023658566,17412.9084207789,17.4129084207789
poesItosExtended,8,4,821.007064917438,4636.02237326966,13553.3686267509,18189.3910000206,18.1893910000206
poesItosAllClients,21,10,977.025102555,12538.0151101199,45736.9507208698,58274.9658309897,58.2749658309897
DMSP,13,7,811.614879624319,5908.66597722775,32417.8557723291,38326.5217495568,38.3265217495568
Selected,9,3,800.91936915112,4188.63024019418,9729.04514782208,13917.6753880163,13.9176753880163
