#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S37849	2011-061A	NPP	2011 Oct 28 	2023 Jan	*	*	-	JPSS	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/645	  101.1 	     811	     818	 98.7 	2024 Oct 12 	     826	     827	 98.73 	-
S43013	2017-073A	NOAA-20	2017 Nov 18 	2023 Feb	*	*	-	JPSS	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/877	   97.4 	     466	     830	 97.7 	2024 Oct 12 	     826	     827	 98.71 	-
S54234	2022-150A	JPSS 2 (NOAA-21)	2022 Nov 10 	2023 Mar	*	*	-	JPSS	-	-	M	C	MET	S	-	-	US	ST/SG/SER.E/1091	  101.3 	     810	     829	 98.7 	2024 Oct 12 	     825	     828	 98.76 	-
