#JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment
S25772,1999-031C,Globalstar M047,6/10/1999,2006 Aug,2013 Dec 12,2014 May 18,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,5/20/2014,1987,2014,51.99,-
S25773,1999-031D,Globalstar M052,6/10/1999,2006 Aug,2013 May 30,2013 Sep 20,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,9/25/2013,2083,2087,51.99,-
S25851,1999-037A,[Globalstar],7/10/1999,2005 Apr,2005 Apr,2008 Nov 20,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,11/24/2008,2128,2149,51.99,-
S25852,1999-037B,[Globalstar],7/10/1999,2010 Aug,2013 Jun 17,2014 Jan 17,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,1/19/2014,2059,2059,52,-
S25853,1999-037C,[Globalstar],7/10/1999,2010 Aug,2010 Oct 15,2011 Feb  4,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,2/6/2011,1949,1952,51.98,-
S25854,1999-037D,[Globalstar],7/10/1999,2010 Aug,2013 Jun 27,2013 Oct  4,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,10/6/2013,1885,1889,51.99,-
S25872,1999-041A,[Globalstar],7/25/1999,2010 Aug,2010 Sep 10,2010 Sep 24,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,9/26/2010,1989,1994,51.94,-
S25873,1999-041B,[Globalstar],7/25/1999,2017 May,2017 May  5,2017 Jun 19,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,6/21/2017,2126,2129,52,-
S25874,1999-041C,[Globalstar],7/25/1999,2010 Aug,2011 Feb  3,2011 Sep 12,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,3/6/2011,2033,2037,51.96,-
S25875,1999-041D,[Globalstar],7/25/1999,2010 Aug,2015 May 23,2015 Sep  3,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/366,  114.1 ,    1413,    1414, 52.0 ,9/5/2015,1413,1511,51.96,-
