#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S42960	2017-061F	Iridium 107	2017 Oct  9 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     614	     636	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S42961	2017-061G	Iridium 132	2017 Oct  9 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     614	     636	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S42962	2017-061H	Iridium 136	2017 Oct  9 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     613	     636	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
S42963	2017-061J	Iridium 139	2017 Oct  9 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     612	     636	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S42964	2017-061K	Iridium 125	2017 Oct  9 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     612	     636	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
S43070	2017-083A	Iridium 135	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     611	     628	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43071	2017-083B	Iridium 138	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     611	     627	 86.7 	2024 Oct 13 	     776	     778	 86.40 	-
S43072	2017-083C	Iridium 116	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     610	     627	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43073	2017-083D	Iridium 130	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   98.2 	     671	     672	 86.6 	2024 Oct 13 	     775	     779	 86.40 	-
S43074	2017-083E	Iridium 151	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     610	     627	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43075	2017-083F	Iridium 134	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   98.7 	     697	     698	 86.5 	2024 Oct 13 	     775	     779	 86.40 	-
S43076	2017-083G	Iridium 137	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     609	     627	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43077	2017-083H	Iridium 141	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     609	     627	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
