Constellation,NumDataPoints,AvgPhasing_ms,AvgPlaneChange_ms,AvgTotal_ms,StdDev_ms,StdDev_pct
poesItos,12,12532.6375,30416.1441666667,42948.7825,3313.42327362812,7.71482468362896
poesItosNarrow,12,1497.8,13580.1783333333,15077.9766666667,9.80542274211148,0.0650314227093123
poesItosLandsat,12,1815.58583333333,13580.1783333333,15395.7633333333,9.83754989206081,0.0638977729071839
poesItosLandsatJPSS,12,3911.26166666667,13580.1783333333,17491.4408333333,27.514084148217,0.157300272804191
poesItosExtended,11,4207.89454545455,13903.7245454545,18111.62,1697.7651711824,9.37390013252486
poesItosAllClients,10,10699.103,35722.671,46421.774,18502.9538354881,39.8583514612951
DMSP,7,6747.66,28695.4428571429,35443.0971428571,4319.48984160828,12.187111708094
Selected,7,4472.65285714286,9831.96285714286,14304.6171428571,1148.97603072931,8.03220400276869
